roi_label,roi_name,x,y,z
191,7Networks_LH_DorsAttn_Post_19,-57.0820,-22.6885,38.3279
192,7Networks_LH_DorsAttn_Post_20,-22.8049,-72.5610,35.6098
193,7Networks_LH_DorsAttn_Post_21,-26.8472,-67.1250,37.0139
194,7Networks_LH_DorsAttn_Post_22,-58.6891,-30.0504,44.7395
195,7Networks_LH_DorsAttn_Post_23,-51.8692,-27.2897,41.7196
196,7Networks_LH_DorsAttn_Post_24,-51.8636,-33.7273,45.3333
197,7Networks_LH_DorsAttn_Post_25,-41.9231,-39.1538,42.2000
198,7Networks_LH_DorsAttn_Post_26,-24.1188,-64.2574,47.1683
199,7Networks_LH_DorsAttn_Post_27,-17.6957,-77.0290,50.5507
200,7Networks_LH_DorsAttn_Post_28,-42.5522,-32.8358,42.9104
201,7Networks_LH_DorsAttn_Post_29,-19.3333,-68.7193,46.2982
202,7Networks_LH_DorsAttn_Post_30,-32.6857,-39.5143,42.6286
203,7Networks_LH_DorsAttn_Post_31,-28.6316,-58.9474,51.0789
204,7Networks_LH_DorsAttn_Post_32,-32.3750,-47.5000,46.6607
205,7Networks_LH_DorsAttn_Post_33,-27.5676,-53.6216,48.8649
206,7Networks_LH_DorsAttn_Post_34,-6.0541,-76.7568,52.0541
207,7Networks_LH_DorsAttn_Post_35,-40.6715,-35.6496,51.4015
208,7Networks_LH_DorsAttn_Post_36,-26.0247,-64.8889,56.7654
209,7Networks_LH_DorsAttn_Post_37,-28.2857,-57.1429,57.1429
210,7Networks_LH_DorsAttn_Post_38,-15.1772,-71.8987,55.0127
211,7Networks_LH_DorsAttn_Post_39,-38.0455,-41.7727,56.6364
212,7Networks_LH_DorsAttn_Post_40,-36.9474,-52.5526,57.5658
213,7Networks_LH_DorsAttn_Post_41,-8.2316,-69.7053,59.6842
214,7Networks_LH_DorsAttn_Post_42,-21.3882,-68.2824,62.2353
215,7Networks_LH_DorsAttn_Post_43,-29.0617,-60.9630,62.8148
216,7Networks_LH_DorsAttn_Post_44,-3.3175,-52.8571,57.9524
217,7Networks_LH_DorsAttn_Post_45,-6.5827,-61.1654,60.3937
218,7Networks_LH_DorsAttn_Post_46,-14.6977,-63.6512,60.6279
219,7Networks_LH_DorsAttn_Post_47,-31.9579,-52.1053,67.1579
220,7Networks_LH_DorsAttn_Post_48,-22.5041,-58.1301,64.7805
221,7Networks_LH_DorsAttn_Post_49,-6.7500,-53.4375,67.1667
222,7Networks_LH_DorsAttn_Post_50,-14.3026,-58.7763,67.0658
223,7Networks_LH_DorsAttn_FEF_1,-42.3931,-2.3006,49.9422
224,7Networks_LH_DorsAttn_FEF_2,-28.6821,3.5607,57.4682
225,7Networks_LH_DorsAttn_FEF_3,-32.8186,-3.2744,51.3116
226,7Networks_LH_DorsAttn_FEF_4,-24.0863,-5.2806,52.0863
227,7Networks_LH_DorsAttn_FEF_5,-22.3310,7.0141,61.2324
228,7Networks_LH_DorsAttn_FEF_6,-20.5385,-5.5962,60.1923
229,7Networks_LH_DorsAttn_FEF_7,-19.2096,-0.3713,68.8383
